turtles	0.0	-0.05	0.05	0.05
checked	-0.02	0.41	0.47	0.12
faster	0.0	-0.03	0.03	0.03
finally	-2.67	-1.17	0.9	0.49
number	0.48	-0.28	0.25	0.5
floor	0.67	2.54	0.17	0.56
ride	0.0	-0.01	0.01	0.01
forever	-0.77	-1.96	0.8	0.53
glance	-0.83	-0.02	0.83	0.02
looked	-0.65	-0.77	0.66	0.14
great	1.54	1.68	0.52	0.3
finger	0.03	-0.03	0.03	0.03
smudges	0.0	-0.05	0.05	0.05
glass	-0.02	0.01	0.31	0.01
table	0.0	0.45	0.01	0.47
figured	-0.01	0.0	0.01	0.01
cleanin	0.0	-0.05	0.05	0.05
accidentally	0.0	-0.02	0.02	0.02
touched	0.0	-0.04	0.02	0.02
house	0.0	0.0	0.0	0.0
supper	0.0	-0.0	0.03	0.03
wait	0.06	-1.09	0.51	0.18
meal	0.3	-2.7	0.27	0.42
good	0.37	0.13	0.17	0.24
waitress	0.0	0.0	0.02	0.02
uptight	0.0	-0.05	0.05	0.05
set	-0.52	0.0	0.53	0.0
wake	0.01	-0.37	0.01	0.42
grateful	0.0	-0.05	0.05	0.05
nice	0.21	-0.32	0.1	0.17
surprisingly	0.0	-0.06	0.03	0.03
work	-0.82	0.05	0.4	0.09
realized	0.0	0.01	0.58	0.01
received	-0.35	0.53	0.36	0.12
upset	0.0	-0.01	0.89	0.01
overall	-0.07	-2.43	0.07	0.21
worth	0.22	0.0	0.11	0.0
stars	0.02	-0.03	0.01	0.01
price	1.0	0.28	0.34	0.07
quality	-0.06	-0.19	0.29	0.1
ratings	-0.02	-0.07	0.02	0.02
expect	-1.64	-0.19	0.57	0.16
better	-0.88	0.01	0.44	0.03
anniversary	-0.03	-0.3	0.19	0.31
location	-1.53	1.34	0.26	0.46
poor	-1.61	0.0	0.82	0.0
customer	-0.03	-0.84	0.42	0.18
rudeness	0.0	0.02	0.83	0.02
staff	0.89	-0.6	0.13	0.03
cleaning	0.61	-1.05	0.62	0.38
crew	0.0	-0.02	0.02	0.02
forgot	0.01	0.01	0.01	0.01
vacuum	0.0	-0.02	0.03	0.03
hair	-0.01	-0.01	0.78	0.43
carpet	-2.55	0.02	0.88	0.12
spent	0.0	0.7	0.24	0.16
money	-1.46	0.47	0.73	0.19
than	0.59	0.28	0.22	0.03
normally	0.02	-0.0	0.01	0.01
hoping	-0.92	-0.65	0.93	0.5
luxury	0.0	-1.48	0.0	0.81
left	-0.42	0.33	0.46	0.07
unsatisfied	0.0	-0.06	0.03	0.03
high	-0.38	-0.61	0.13	0.15
magnificent	1.11	1.4	0.58	0.22
mile	1.1	0.36	0.58	0.35
best	1.56	-0.46	0.4	0.08
option	0.01	0.03	0.01	0.01
central	-0.01	0.01	0.01	0.01
convenient	1.05	0.0	0.55	0.0
hike	-0.06	0.0	0.03	0.03
navy	1.34	-0.01	0.69	0.4
pier	1.26	-0.99	0.65	0.37
claims	-0.86	-1.56	0.86	0.86
official	-0.05	0.0	0.05	0.05
shops	0.42	-0.04	0.42	0.01
secondly	-0.02	0.0	0.02	0.02
rooms	0.74	-0.68	0.07	0.03
miniscule	-0.05	0.0	0.05	0.05
comparison	0.03	0.06	0.03	0.03
area	-0.75	-0.64	0.26	0.03
thirdly	-0.03	0.0	0.03	0.03
restaurant	-0.19	-0.57	0.27	0.06
lounge	0.0	0.0	0.57	0.0
offer	-1.58	0.32	0.32	0.11
menu	0.0	-0.39	0.0	0.24
bit	-0.17	0.7	0.06	0.34
bizarre	-0.05	0.0	0.05	0.05
rude	-1.93	0.12	0.97	0.26
staffs	-0.05	0.0	0.05	0.05
witnessed	-0.03	0.03	0.03	0.03
courtesy	-0.02	0.0	0.02	0.02
outrageous	-0.83	-0.09	0.83	0.02
prices	-0.34	-1.33	0.35	0.65
ready	0.54	-0.21	0.55	0.22
attitude	-0.83	-0.01	0.83	0.01
snobbery	-0.05	0.0	0.05	0.05
will	-0.08	-0.85	0.07	0.06
greet	-0.02	0.01	0.02	0.02
returned	0.0	1.26	0.0	0.45
weekend	0.01	0.43	0.12	0.2
wife	0.0	-0.23	0.0	0.23
describe	0.0	-0.06	0.02	0.02
awful	0.0	-0.03	0.83	0.01
thursday	0.02	0.01	0.01	0.01
check	0.76	-0.1	0.38	0.03
our	-1.43	0.84	0.21	0.02
inside	0.32	0.59	0.32	0.19
smelled	-1.64	-1.24	0.83	0.56
ash	0.0	0.0	0.05	0.05
tray	0.0	0.03	0.03	0.03
deactivated	0.0	0.0	0.05	0.05
detectors	0.0	0.0	0.05	0.05
smoking	-0.78	-2.0	0.83	0.35
decided	0.8	-2.32	0.27	0.36
early	0.34	0.02	0.12	0.26
dinner	1.76	0.0	0.36	0.0
arriving	-0.0	0.0	0.61	0.0
key	-2.51	0.44	0.85	0.15
lobby	-0.27	1.13	0.26	0.29
maids	0.02	-0.04	0.01	0.01
started	-0.53	-1.2	0.54	0.46
knocking	0.0	-0.03	0.03	0.03
clean	1.23	-2.86	0.32	0.12
disturb	0.0	-0.02	0.02	0.02
sign	0.62	0.0	0.62	0.0
rest	0.42	-0.48	0.42	0.19
wakeup	-0.03	-0.03	0.03	0.03
downstairs	-0.54	0.61	0.54	0.25
request	-0.48	0.63	0.46	0.18
terrible	-1.79	-2.11	0.92	0.36
smell	0.77	-1.47	0.82	0.78
assigned	0.67	0.04	0.67	0.01
employee	-0.7	0.0	0.7	0.0
condescending	-0.83	0.03	0.83	0.02
sighed	0.0	0.0	0.03	0.03
eventually	0.0	0.0	0.92	0.58
enjoy	0.34	0.68	0.17	0.4
demeanor	0.0	0.03	0.03	0.03
encountered	-0.03	0.41	0.01	0.46
fairly	0.0	-0.03	0.92	0.01
uneventful	0.0	0.0	0.05	0.05
taste	0.02	0.01	0.01	0.01
mouth	0.0	0.02	0.01	0.01
likely	0.0	-0.02	0.02	0.02
won	-0.62	-1.43	0.61	0.13
week	-0.72	-0.12	0.25	0.15
studio	0.0	-0.05	0.05	0.05
suite	-0.25	0.0	0.13	0.0
extra	0.95	-0.18	0.24	0.18
payment	0.0	-0.05	0.03	0.03
absolute	0.0	-0.0	0.02	0.02
allcaps	1.07	1.5	0.22	0.43
nightmare	0.0	-1.88	0.89	0.67
listed	0.0	0.05	0.02	0.02
oversized	0.0	0.0	0.03	0.03
sort	-0.84	-0.6	0.84	0.32
regular	0.0	0.03	0.42	0.01
square	0.0	-0.03	0.03	0.03
feet	0.0	0.0	0.62	0.01
smaller	-0.48	0.0	0.48	0.0
space	0.0	2.49	0.0	0.35
closet	-0.35	0.83	0.36	0.5
plan	0.0	0.0	0.0	0.0
living	2.4	-0.03	0.63	0.01
sons	0.0	-0.03	0.03	0.03
sleeping	-0.52	-0.08	0.53	0.01
oldest	0.0	-0.05	0.05	0.05
son	0.0	0.0	0.0	0.0
slept	0.0	-1.31	0.0	0.29
couch	0.01	0.02	0.01	0.42
woke	-1.32	0.0	0.67	0.0
multiple	-0.55	-0.02	0.55	0.01
times	-1.05	0.14	0.56	0.18
time	1.12	-0.53	0.13	0.16
complaining	0.0	0.01	0.89	0.01
bugs	-1.18	-0.02	0.61	0.01
moving	0.0	0.0	0.03	0.03
umcomfortable	0.0	-0.05	0.05	0.05
sat	-0.01	0.0	0.44	0.01
rock	0.0	-1.92	0.0	0.28
horrible	-0.87	-0.89	0.86	0.38
minutes	-0.77	-0.16	0.78	0.12
deliver	-0.88	-0.0	0.9	0.01
pillow	0.0	-0.26	0.0	0.45
family	0.0	-0.68	0.0	0.17
highly	2.08	0.39	0.68	0.08
recommend	0.06	-2.62	0.32	0.19
well	0.45	0.23	0.09	0.13
walls	-1.55	-0.56	0.79	0.12
thin	-0.94	0.0	0.95	0.01
party	-0.71	-1.03	0.72	0.24
going	0.89	-0.8	0.32	0.12
mine	0.0	-1.91	0.01	0.73
talked	0.0	-0.01	0.01	0.01
management	-0.95	0.0	0.96	0.0
people	-0.89	-0.72	0.46	0.08
contact	0.0	0.04	0.31	0.01
thought	-1.2	0.0	0.41	0.0
standoffish	0.0	0.0	0.05	0.05
unpleasant	-0.93	0.02	0.94	0.01
cost	-0.02	0.48	0.5	0.13
staying	-0.01	0.01	0.28	0.3
affnia	0.0	-0.1	0.05	0.05
extremely	0.42	0.0	0.14	0.0
avoid	-0.95	-0.02	0.95	0.01
paid	-1.61	0.55	0.55	0.34
nights	0.0	1.32	0.0	0.34
cheap	0.01	0.0	0.55	0.0
untidy	0.0	-0.1	0.05	0.05
granted	0.0	-0.06	0.02	0.02
walked	0.0	-2.23	0.0	0.27
tiny	-1.74	1.06	0.88	0.64
patches	0.0	-0.06	0.03	0.03
mold	-1.85	-0.01	0.93	0.01
wall	-1.23	0.0	0.62	0.5
painted	0.02	0.03	0.02	0.02
breakfast	0.05	1.83	0.05	0.35
certainly	-1.75	-0.3	0.62	0.38
wifi	-0.02	0.0	0.67	0.0
connection	-0.01	-0.04	0.01	0.01
horrendously	0.0	-0.1	0.05	0.05
want	0.81	0.0	0.21	0.0
spend	-0.55	0.35	0.55	0.5
big	0.54	-2.17	0.14	0.16
buck	0.0	-0.09	0.03	0.03
fine	0.0	0.0	0.0	0.0
reading	0.01	-0.02	0.01	0.01
reviews	0.61	0.9	0.09	0.59
husband	-0.45	-1.63	0.16	0.4
celebrate	0.0	-0.69	0.62	0.88
missed	0.0	0.0	0.02	0.02
mark	0.0	0.0	0.02	0.02
find	1.86	0.71	0.38	0.15
bedbugs	0.0	-0.02	0.02	0.02
underneath	0.0	-0.02	0.03	0.03
mattress	0.0	-0.01	0.53	0.01
star	-2.3	3.36	0.58	0.52
rule	0.0	-0.02	0.03	0.03
settling	-0.02	-0.06	0.02	0.02
brought	0.44	-0.43	0.48	0.24
attention	-1.11	-0.05	0.53	0.01
practically	0.0	-0.04	0.02	0.02
accused	0.0	-0.04	0.05	0.05
planting	0.0	-0.04	0.05	0.05
humiliated	0.0	-0.04	0.05	0.05
disappointed	-2.57	-0.37	0.86	0.12
situation	0.76	0.0	0.76	0.0
handled	0.03	0.01	0.03	0.03
needless	-0.01	0.46	0.84	0.42
decision	0.0	-1.47	0.02	0.83
pack	0.0	-0.09	0.02	0.02
bags	0.99	-0.28	0.34	0.45
written	0.0	-0.02	0.83	0.02
letter	0.0	-0.01	0.62	0.01
chain	0.0	0.0	0.0	0.0
responsive	0.0	0.0	0.01	0.01
reported	-0.01	-0.04	0.67	0.01
incident	0.0	-0.02	0.03	0.03
credit	0.0	-0.73	0.84	0.41
card	-0.92	0.8	0.92	0.46
company	-0.62	1.12	0.21	0.28
alert	-0.03	-0.02	0.03	0.03
refuting	0.0	-0.04	0.05	0.05
charge	1.33	-0.4	0.68	0.41
charged	-1.71	0.57	0.86	0.36
account	-0.88	-0.28	0.93	0.36
cancellation	-0.91	-0.02	0.91	0.01
deadline	0.0	-0.04	0.05	0.05
extremly	0.0	0.0	0.05	0.05
unhappy	0.0	-0.01	0.01	0.01
confirmed	0.0	0.03	0.01	0.01
weeks	0.0	-0.38	0.69	0.31
earlier	-0.01	0.03	0.77	0.01
computer	0.0	-0.88	0.95	0.45
cleaned	-0.77	-1.04	0.8	0.57
dirty	-2.76	0.74	0.92	0.15
texted	0.0	0.0	0.05	0.05
stop	0.0	0.0	0.0	0.0
cell	0.0	0.01	0.75	0.01
phone	-0.7	2.92	0.72	0.28
office	-0.0	-0.1	0.01	0.01
rang	0.0	0.03	0.03	0.03
hook	0.0	0.03	0.03	0.03
toilet	-0.84	-0.16	0.85	0.19
paper	0.74	0.0	0.79	0.0
restroom	-0.02	0.01	0.02	0.02
trash	-0.9	-1.03	0.91	0.55
dont	-1.35	0.03	0.46	0.01
waste	0.0	-1.72	0.79	0.5
reserved	-1.58	-1.21	0.83	0.43
queen	0.71	0.0	0.19	0.0
size	0.0	0.44	0.0	0.19
beds	0.0	0.0	0.0	0.0
king	-1.1	0.0	0.23	0.0
bed	-0.82	0.62	0.2	0.22
cot	0.0	-0.03	0.03	0.03
balls	0.0	0.0	0.03	0.03
cat	0.0	0.0	0.03	0.03
terror	0.0	0.0	0.03	0.03
caters	0.03	-0.05	0.03	0.03
wedding	0.0	-0.11	0.0	0.42
guests	-0.78	0.76	0.37	0.13
corporations	0.0	-0.09	0.05	0.05
hosting	0.02	0.02	0.02	0.02
conferences	-0.04	0.0	0.02	0.02
represent	0.0	-0.09	0.05	0.05
groups	0.0	-0.05	0.03	0.03
revenue	0.0	-0.09	0.05	0.05
measure	0.0	-0.09	0.05	0.05
accommodations	0.0	-0.77	0.0	0.76
lost	-0.5	0.0	0.48	0.0
concierge	1.39	2.88	0.36	0.42
furnishings	0.01	-0.05	0.01	0.01
cheaply	0.0	-0.03	0.03	0.03
superficial	0.0	-0.09	0.05	0.05
view	0.99	-3.49	0.26	0.2
directly	0.02	2.42	0.4	0.67
concrete	0.0	0.0	0.02	0.02
shaped	0.03	0.05	0.03	0.03
corridor	-0.03	-0.05	0.03	0.03
called	-0.02	0.86	0.81	0.24
fresh	0.0	0.0	0.0	0.0
linens	0.23	-1.04	0.23	0.23
toiletries	0.0	-0.58	0.01	0.67
attendant	0.0	-0.08	0.03	0.03
essentially	0.02	0.0	0.02	0.02
hours	-0.65	-0.81	0.64	0.37
dining	1.49	-0.5	0.51	0.4
hall	0.01	-0.01	0.31	0.01
reception	0.01	-0.53	0.36	0.21
areas	0.71	-0.35	0.18	0.32
group	0.39	0.05	0.39	0.28
wouldn	-0.5	0.08	0.53	0.23
experiences	0.0	-0.01	0.72	0.01
conference	-0.5	3.1	0.25	0.4
somewhere	-0.02	-0.81	0.78	0.43
pleasant	0.0	-0.46	0.0	0.12
relaxing	-0.45	-0.57	0.45	0.55
return	0.69	0.0	0.23	0.0
place	0.11	-1.66	0.04	0.27
restaurants	0.55	0.15	0.56	0.15
mediocre	-1.59	0.0	0.82	0.01
despite	-0.86	0.0	0.86	0.0
repeatedly	0.0	0.0	0.03	0.03
food	0.04	-2.8	0.04	0.17
bland	0.0	0.0	0.03	0.03
overcooked	0.0	0.0	0.03	0.03
lukewarm	0.0	-0.02	0.86	0.01
special	0.59	-0.6	0.3	0.13
comfortable	1.29	-0.36	0.66	0.12
downtown	0.21	0.87	0.25	0.2
discomfort	0.0	0.0	0.05	0.05
dissatisfaction	0.0	0.0	0.05	0.05
jet	-0.02	-0.05	0.02	0.02
pets	0.64	-1.78	0.64	0.93
program	-0.01	0.0	0.55	0.73
hard	0.0	0.09	0.21	0.23
decent	0.99	0.0	0.5	0.0
accept	-0.03	-0.03	0.03	0.03
dog	0.23	-1.57	0.23	0.86
employees	-0.19	0.0	0.19	0.0
adopted	0.0	0.0	0.05	0.05
mutt	0.0	0.0	0.05	0.05
energetic	0.0	0.0	0.05	0.05
loves	0.0	0.02	0.02	0.02
photogenic	0.0	0.0	0.05	0.05
scar	0.0	0.0	0.05	0.05
face	-1.11	-0.0	0.58	0.01
terrier	0.0	0.0	0.05	0.05
mocked	0.0	0.0	0.05	0.05
point	1.58	0.0	0.55	0.0
grooming	0.0	-0.03	0.03	0.03
wanted	-0.16	-1.48	0.17	0.41
class	0.91	0.0	0.32	0.0
associations	0.0	0.0	0.05	0.05
dogs	0.0	0.0	0.03	0.03
treat	0.0	0.62	0.01	0.5
boarded	0.0	0.0	0.05	0.05
frustrating	0.01	0.02	0.01	0.01
unsatisfactory	0.0	0.0	0.05	0.05
marks	0.0	-0.02	0.02	0.02
spa	0.25	-1.25	0.26	0.62
services	-0.55	-1.78	0.28	0.48
appreciated	0.0	-0.0	0.01	0.01
luxurious	0.01	-0.53	0.48	0.6
indulgent	0.0	0.0	0.05	0.05
pictures	0.0	-0.94	0.61	0.39
portrayed	0.0	-0.13	0.03	0.03
online	0.46	-0.73	0.47	0.23
booked	-1.07	2.09	0.36	0.25
thinking	0.48	0.02	0.5	0.01
perfect	2.68	0.0	0.9	0.0
musty	0.0	-0.78	0.93	0.8
garbage	-0.88	-0.04	0.89	0.01
changed	-0.85	0.0	0.86	0.0
prior	-0.5	0.88	0.5	0.79
ants	0.0	-0.08	0.03	0.03
bathroom	-0.25	0.4	0.25	0.21
shower	-0.03	0.01	0.35	0.42
complain	-1.51	0.0	0.76	0.0
bug	-1.73	-0.04	0.89	0.01
spray	0.0	-0.05	0.83	0.02
visit	0.46	-1.34	0.46	0.51
overly	0.03	-0.07	0.03	0.03
friendly	1.16	-0.31	0.55	0.07
helpful	0.49	1.99	0.54	0.27
interesting	0.58	-0.03	0.62	0.01
fancy	-1.42	-3.0	0.5	0.5
projects	0.0	-0.05	0.05	0.05
experienced	0.0	-0.18	0.01	0.32
workers	-0.57	-0.05	0.58	0.01
personal	0.0	-0.87	0.29	0.48
conversation	0.0	-0.02	0.02	0.02
women	0.01	0.01	0.01	0.01
counter	-0.72	-2.39	0.74	0.84
acknowledged	0.0	-0.0	0.02	0.02
smacking	0.0	-0.03	0.03	0.03
gum	0.0	-0.03	0.03	0.03
treating	0.0	-0.06	0.03	0.03
inconveniencing	0.0	-0.09	0.03	0.03
cold	-1.44	-0.49	0.75	0.23
eggs	0.01	-0.03	0.01	0.01
makeover	-0.06	-0.0	0.03	0.03
neo	-0.05	-0.13	0.05	0.05
classical	-0.03	-0.08	0.03	0.03
stylings	-0.05	-0.13	0.05	0.05
combination	-0.03	-0.08	0.03	0.03
trouble	-2.14	-0.05	0.55	0.01
established	-0.05	-0.13	0.05	0.05
reservations	-1.51	0.0	0.38	0.0
friday	0.01	-0.04	0.01	0.01
amd	-0.05	-0.13	0.05	0.05
posted	-0.02	-0.02	0.01	0.01
apology	-0.91	-0.02	0.92	0.01
upgrade	-0.22	0.09	0.22	0.52
discount	-0.63	-0.08	0.65	0.01
seasoned	-0.03	-0.08	0.03	0.03
traveler	0.01	0.03	0.01	0.01
share	-0.02	-0.03	0.01	0.01
disappointments	-0.03	-0.05	0.03	0.03
tops	-0.03	-0.08	0.03	0.03
list	-0.43	-0.02	0.44	0.01
complete	0.4	0.0	0.21	0.0
delight	0.01	-0.03	0.01	0.01
rates	0.0	-0.05	0.32	0.01
higher	0.0	-0.04	0.53	0.01
york	0.0	0.0	0.02	0.02
naturally	0.03	-0.13	0.03	0.03
assumed	0.0	-0.05	0.03	0.03
nicer	-0.05	-0.69	0.5	0.28
establishment	-1.51	-0.86	0.77	0.46
wrong	-0.01	-0.14	0.72	0.31
focuses	0.0	-0.09	0.05	0.05
gimmicks	0.0	-0.09	0.05	0.05
apart	0.0	0.0	0.01	0.01
competition	0.0	-0.05	0.03	0.03
uunfortunately	0.0	-0.09	0.05	0.05
strictly	0.0	-0.09	0.05	0.05
dream	0.02	-1.49	0.02	0.83
kit	0.01	-0.03	0.01	0.01
flop	0.0	-0.09	0.05	0.05
offered	-0.59	-0.73	0.31	0.22
patrons	-0.02	-0.04	0.02	0.02
choices	0.0	-0.01	0.01	0.01
stuffed	0.0	-0.05	0.03	0.03
hypoallergenic	0.0	-0.05	0.03	0.03
selections	0.0	-0.05	0.03	0.03
happily	0.0	-0.04	0.02	0.02
chose	0.43	-0.09	0.44	0.21
fluffy	0.0	-0.01	0.01	0.01
pillows	0.0	0.96	0.0	0.18
laid	0.0	0.04	0.02	0.02
giant	-0.0	0.02	0.02	0.02
poof	0.0	-0.09	0.05	0.05
dust	0.0	-0.03	0.91	0.01
imagination	0.0	-0.09	0.05	0.05
stood	-0.0	-0.18	0.01	0.62
hit	-0.41	-0.78	0.44	0.44
edge	0.0	-0.05	0.03	0.03
particles	0.0	-0.09	0.05	0.05
flying	0.02	-0.07	0.02	0.02
sneezing	0.0	-0.09	0.05	0.05
disgusting	-1.81	0.01	0.92	0.01
grit	0.0	-0.09	0.05	0.05
sunglasses	0.0	-0.09	0.05	0.05
sitting	-0.03	-1.4	0.01	0.39
stand	-0.03	1.77	0.01	0.7
replacements	0.0	-0.09	0.05	0.05
music	1.13	0.0	0.29	0.0
pluged	0.0	-0.09	0.05	0.05
player	0.0	-0.02	0.01	0.01
uncomfortable	-1.75	0.7	0.96	0.27
cords	0.0	-0.09	0.05	0.05
general	-0.86	0.77	0.86	0.32
accommodating	0.0	-0.03	0.32	0.01
filthy	-0.0	-0.01	0.81	0.01
failed	0.0	0.01	0.8	0.01
gimmick	0.0	-0.09	0.05	0.05
kits	0.0	-0.05	0.03	0.03
ours	0.01	0.0	0.01	0.01
keep	-0.4	1.56	0.42	0.5
collection	0.0	-0.09	0.05	0.05
maps	0.0	-0.02	0.02	0.02
walking	1.07	0.86	0.55	0.32
tour	0.5	0.01	0.5	0.01
guide	0.0	-0.02	0.02	0.02
marked	0.0	-0.05	0.03	0.03
handy	0.0	-0.01	0.01	0.01
deck	0.0	-0.03	0.02	0.02
cards	0.0	-0.01	0.01	0.01
opened	-1.25	0.01	0.65	0.01
missing	-0.77	0.03	0.77	0.01
lacked	0.0	-0.02	0.02	0.02
detail	-0.01	-0.04	0.01	0.01
weren	-0.65	-1.12	0.65	0.19
certain	-1.35	0.0	0.73	0.01
walk	-0.26	1.15	0.24	0.54
truly	0.0	0.0	0.0	0.0
write	0.3	-0.03	0.32	0.01
review	-0.34	0.36	0.35	0.42
forced	-0.73	-0.6	0.73	0.55
boy	-0.52	-0.01	0.56	0.01
excited	0.0	0.53	0.56	0.31
short	-0.35	0.0	0.12	0.0
getaway	-0.3	0.9	0.3	0.3
soon	-0.0	-0.55	0.36	0.36
help	-0.48	-0.25	0.48	0.19
confused	0.0	0.06	0.83	0.02
matched	0.0	0.03	0.03	0.03
workings	0.0	0.0	0.05	0.05
total	-0.83	0.01	0.42	0.01
inept	0.0	0.0	0.02	0.02
proceed	0.0	0.0	0.05	0.05
explain	0.0	0.0	0.86	0.01
mistakes	0.0	0.04	0.02	0.02
mistaken	0.0	0.03	0.03	0.03
manager	-1.71	1.28	0.89	0.25
insisted	0.0	0.0	0.01	0.67
presents	0.0	0.0	0.05	0.05
straiten	0.0	0.0	0.05	0.05
confusion	0.0	0.0	0.03	0.03
lead	0.02	0.08	0.02	0.02
occupants	0.0	0.0	0.03	0.03
demanded	0.0	-0.02	0.02	0.02
condition	0.0	-0.01	0.01	0.01
liking	0.0	0.0	0.03	0.03
worked	0.0	-1.55	0.01	0.44
acted	-0.89	-0.76	0.89	0.89
reputation	0.0	0.0	0.03	0.03
television	0.0	0.0	0.25	0.75
inch	-0.01	0.0	0.01	0.01
black	0.0	-0.03	0.01	0.01
white	-1.19	1.03	0.61	0.52
channels	-0.84	0.0	0.88	0.01
lifeless	0.0	0.0	0.05	0.05
knocked	-0.02	0.0	0.02	0.02
slight	0.0	0.0	0.03	0.03
vomit	0.0	0.0	0.02	0.02
passed	0.01	0.02	0.01	0.01
lift	-0.01	-0.02	0.01	0.01
blunt	0.0	0.0	0.05	0.05
ceo	0.0	0.0	0.05	0.05
reads	0.0	0.0	0.05	0.05
note	0.03	0.06	0.62	0.01
fires	0.0	0.0	0.05	0.05
entire	-0.67	0.0	0.23	0.0
guts	0.0	0.0	0.05	0.05
building	0.0	-0.27	0.0	0.4
thoroughly	0.01	0.02	0.01	0.01
publicly	0.0	0.0	0.05	0.05
flogged	0.0	0.0	0.05	0.05
park	0.0	0.78	0.0	0.17
step	-0.01	-0.98	0.01	0.5
doors	-0.39	0.0	0.4	0.0
hello	0.0	0.01	0.02	0.02
learned	0.0	-0.03	0.62	0.01
additional	0.0	0.0	0.01	0.01
charges	-0.0	-0.58	0.74	0.63
arrival	0.16	0.0	0.16	0.0
mention	0.0	-1.09	0.0	0.3
internet	-0.13	-0.79	0.13	0.15
parking	-0.22	0.83	0.22	0.35
fees	-1.3	-0.02	0.67	0.01
fee	-0.98	-0.23	0.5	0.23
valet	-0.66	0.61	0.33	0.19
plain	0.01	-0.01	0.01	0.01
ridiculous	0.82	0.0	0.86	0.0
remember	0.0	0.79	0.01	0.5
future	0.77	0.12	0.39	0.18
hoped	0.0	-0.05	0.02	0.02
turned	1.52	-3.5	0.52	0.71
couldn	0.0	-0.54	0.0	0.24
add	-0.44	0.01	0.44	0.01
mini	0.64	0.63	0.22	0.47
bar	0.09	1.23	0.04	0.34
stocked	0.0	0.07	0.01	0.01
unusable	0.0	0.0	0.03	0.03
top	-0.01	-0.2	0.1	0.1
street	-0.42	2.47	0.21	0.63
noise	-1.7	-1.31	0.59	0.23
penetrate	0.0	0.0	0.05	0.05
ease	-0.02	-0.02	0.02	0.02
making	-0.69	-1.83	0.34	0.29
sleep	-0.01	-0.0	0.51	0.1
impossible	-0.72	-0.0	0.73	0.01
discovered	0.0	-1.4	0.82	0.35
premium	0.0	-0.0	0.01	0.01
dented	0.0	0.0	0.05	0.05
fender	0.0	0.0	0.05	0.05
scratched	0.0	0.0	0.05	0.05
paint	0.02	0.0	0.01	0.01
car	-0.99	0.78	0.33	0.12
ambassador	-0.24	-0.59	0.26	0.31
east	-0.48	-1.78	0.25	0.28
remodeled	0.0	-0.02	0.01	0.01
years	0.26	1.79	0.28	0.57
accomodating	0.0	-0.04	0.01	0.01
crappy	0.0	-0.03	0.02	0.02
full	-1.06	0.71	0.36	0.36
property	0.0	1.21	0.0	0.43
numerous	-0.02	0.0	0.02	0.02
gold	0.35	0.02	0.35	0.01
coast	0.0	-0.02	0.79	0.01
amazing	2.32	1.1	0.77	0.31
rate	0.12	1.01	0.12	0.58
book	0.03	0.33	0.31	0.12
reminder	0.0	0.0	0.03	0.03
pay	-0.6	0.0	0.62	0.0
gorgeous	1.54	-0.3	0.79	0.21
appears	0.0	0.03	0.03	0.03
match	-0.0	-0.0	0.02	0.02
photos	0.0	-0.01	0.01	0.01
website	0.02	-0.76	0.64	0.3
quick	0.47	1.0	0.41	0.28
coat	0.0	0.0	0.05	0.05
furniture	-1.03	1.07	0.5	0.18
fixtures	0.01	0.03	0.01	0.01
